batch_invoice_no,batch_invoice_date,batch_waybill_no,batch_waybill_date,device_id,meter_created_at,phase_type,sim_no,imei_no,whm_system_utility,last_meter_location,swh_delivery_time,current_meter_status,status,edf_vendor_manager_name,batch_supplier,whm_vendor_manager_name,date_of_dispatch_to_OEM_repair,date_of_receipt_of_meter_WH,date_of_receipt_of_refurbished,refurbished_meter_received_date,faulty_declared_date,s2s_faulty_declared_date,s2s_date_of_receipt_of_meter_WH,s2s_date_of_dispatch_to_OEM_repair,s2s_date_of_receipt_of_refurbished,s2s_refurbished_meter_received_date,reveived_date,vendor_dispatched_date,swh_inventory_status
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448243,"14/09/2022 12:22:24 PM","1 Phase",8991597052141848838,863709024841969,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448244,"14/09/2022 12:22:24 PM","1 Phase",8991597052141848840,863709024885347,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448245,"14/09/2022 12:22:24 PM","1 Phase",8991597052141848806,863709024843023,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448246,"14/09/2022 12:22:24 PM","1 Phase",8991597052141848827,863709024876221,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448247,"14/09/2022 12:22:24 PM","1 Phase",8991597052141848837,863709024855589,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448249,"14/09/2022 12:22:24 PM","1 Phase",8991597052141848879,863709024884720,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448250,"14/09/2022 12:22:24 PM","1 Phase",8991597052141848854,863709024850499,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448251,"14/09/2022 12:22:24 PM","1 Phase",8991597052141848852,863709024884076,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448252,"14/09/2022 12:22:24 PM","1 Phase",8991597052141848851,863709024860084,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448253,"14/09/2022 12:22:24 PM","1 Phase",8991597052141848850,863709024843676,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448254,"14/09/2022 12:22:24 PM","1 Phase",8991597052141848853,863709024850640,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448255,"14/09/2022 12:22:24 PM","1 Phase",8991757111092469505,863709024850663,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448256,"14/09/2022 12:22:24 PM","1 Phase",8991597052141848821,863709024844021,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448257,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848824,863709024863187,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448258,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848823,863709024850952,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448259,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848822,863709024843742,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448260,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848825,863709024881486,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448262,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848813,863709024857312,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448263,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848810,863709024850986,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448264,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848812,863709024850721,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448265,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848814,863709024880595,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448266,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848880,863709024849905,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448267,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848811,863709024882757,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448268,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848831,863709024870414,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448269,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848717,863709024853543,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448270,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848876,863709024859953,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448271,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848875,863709024860274,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448272,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848877,863709024859912,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448273,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848716,863709024862627,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448274,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848828,863709024870752,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448275,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848833,863709024855761,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448276,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848808,863709024843718,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448277,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848834,863709024884167,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448278,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848826,863709024868798,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448279,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848807,863709024860043,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448281,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848885,863709024860308,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448282,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848714,863709024860498,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448284,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848804,863709024869465,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448285,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848801,863709024860449,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448286,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848769,863709024888978,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448287,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848759,863709024880553,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448288,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848799,863709024851232,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448289,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848761,863709024861728,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448291,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848760,863709024864011,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448292,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848763,863709024877930,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448294,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848767,863709024850929,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448295,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848768,863709024866248,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448296,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848765,863709024843829,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448297,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848762,863709024879241,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448298,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848870,863709024865893,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448299,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848873,863709024860480,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448300,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848869,863709024848279,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448302,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848871,863709024870562,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448303,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848872,863709024860720,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448304,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848864,863709024888242,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448305,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848863,863709024868996,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448306,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848861,863709024850283,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448307,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848862,863709024863112,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448308,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848842,863709024856280,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448309,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848860,863709024860589,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448310,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848857,863709024882441,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448311,"14/09/2022 12:22:25 PM","1 Phase",8991757111092467501,863709024865802,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448312,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848848,863709024861975,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448313,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848849,863709024850507,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448314,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848856,863709024876148,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448315,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848855,863709024862205,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448316,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848846,863709024860050,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448318,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848844,863709024846042,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448319,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848845,863709024862940,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448320,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848859,863709024857155,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448321,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848843,863709024861892,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448323,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848830,863709024882690,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448324,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848835,863709024863849,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448325,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848836,863709024859920,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448326,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848829,863709024881817,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448327,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848878,863709024876304,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448328,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848866,863709024860613,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448329,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848832,863709024868913,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448331,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848865,863709024881932,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
110112150,26-Oct-18,361059289124,26-Oct-18,GP4448332,"14/09/2022 12:22:25 PM","1 Phase",8991597052141848867,863709024863062,SBPD,"VM SBPD",1663140946,"Open in VP warehouse","New Meter",,"Genus 3G",,,,,,,,,,,,30-Oct-18,2022-09-15,Outstock
